town,townKey,medianHouseholdIncome,ownerOccupied,renterOccupied,medianHomeValueCensus,race_total,pop_white,pop_black,pop_asian,pop_hispanic,male_under_5,male_5_9,male_10_14,male_15_17,female_under_5,female_5_9,female_10_14,female_15_17,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85_plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85_plus,emp_agriculture,emp_construction,emp_manufacturing,emp_wholesale,emp_retail,emp_information,emp_finance_real_estate,emp_professional,emp_education_health,emp_arts_food,emp_other_services,emp_public_administration,ageUnder18,age65Plus,age18to64,pop_other,ownerShare,renterShare,employmentTotalSelected,dominantIndustry
Tewksbury,tewksbury,125966,10140,1793,543800,31168,27632,781,1215,1307,580,857,785,433,468,768,453,281,278,635,612,742,209,256,506,483,994,653,266,627,11,1304,1329,556,216,1252,162,918,243,12,144,609,4625,6261,20282,1540,0.8497444062683315,0.15025559373166847,6756,Manufacturing
Tisbury,tisbury,70724,1171,715,943300,4860,3578,64,221,484,40,134,35,102,151,104,86,89,8,235,51,78,35,93,83,0,187,115,38,222,23,429,103,119,0,632,395,41,120,0,37,124,741,1145,2974,997,0.6208907741251326,0.37910922587486745,2023,Information
Tolland,tolland,106458,189,20,331700,475,460,2,0,4,0,19,13,17,7,18,0,0,9,10,23,17,2,4,8,6,14,11,2,0,0,17,31,15,0,13,13,12,1,0,0,3,74,106,295,13,0.9043062200956937,0.09569377990430622,105,Manufacturing
Topsfield,topsfield,176698,2030,215,810400,6535,5712,84,333,370,159,205,182,351,236,156,81,29,33,130,213,151,60,61,135,127,148,134,94,145,0,57,329,22,65,414,29,116,18,18,12,153,1399,1431,3705,406,0.9042316258351893,0.0957683741648107,1233,Information
Townsend,townsend,120238,2885,551,391700,9052,7994,271,299,353,250,297,265,190,322,234,125,75,92,124,237,100,56,18,71,219,319,86,73,87,27,398,462,139,48,338,113,65,150,6,46,236,1758,1482,5812,488,0.839639115250291,0.16036088474970897,2028,Manufacturing
Truro,truro,94637,882,171,771000,1675,1674,0,0,1,0,16,16,0,18,0,0,0,42,55,161,137,0,22,208,44,104,118,47,0,1,10,23,15,0,154,17,21,0,0,0,26,50,938,687,1,0.8376068376068376,0.1623931623931624,267,Information
Tyngsborough,tyngsborough,144375,3606,565,533300,12424,10336,178,938,887,495,305,324,190,519,436,186,259,270,200,288,62,47,33,135,218,198,125,84,40,36,492,557,194,0,839,183,224,77,0,38,316,2714,1700,8010,972,0.864540877487413,0.1354591225125869,2956,Information
Tyringham,tyringham,150000,170,20,613100,459,444,0,0,9,14,9,0,0,10,15,15,0,4,17,18,18,12,5,6,28,19,10,7,5,9,12,3,0,9,28,2,17,7,0,0,7,63,149,247,15,0.8947368421052632,0.10526315789473684,94,Information
Upton,upton,155952,2666,288,561300,8095,7274,97,218,443,175,92,391,234,103,378,241,14,123,186,273,106,29,55,117,184,357,75,68,43,0,222,385,139,17,373,56,53,57,38,86,280,1628,1616,4851,506,0.9025050778605281,0.0974949221394719,1706,Manufacturing
Uxbridge,uxbridge,127083,4407,1068,415500,14318,12881,285,280,431,432,412,465,315,276,304,189,207,205,118,250,179,79,60,183,183,376,245,186,325,51,329,1069,170,74,552,188,186,144,56,29,638,2600,2389,9329,872,0.804931506849315,0.19506849315068492,3486,Manufacturing
Wakefield,wakefield,130320,7795,3271,670100,27284,24005,228,1324,668,1057,743,804,640,688,505,224,239,404,479,543,441,247,277,347,456,581,588,403,487,0,1158,1000,512,206,1359,201,377,136,0,150,566,4900,5253,17131,1727,0.7044099042110971,0.29559009578890294,5665,Information
Wales,wales,93971,700,66,272600,1927,1803,10,6,51,73,90,66,25,59,83,14,9,10,40,47,27,15,8,5,71,60,14,11,3,0,156,98,35,7,32,14,16,39,0,3,35,419,311,1197,108,0.9138381201044387,0.08616187989556136,435,Construction
Walpole,walpole,159720,7736,1631,647600,26294,22523,759,1154,1230,757,910,922,854,933,964,691,292,328,319,496,314,114,277,233,354,677,397,348,460,28,765,644,242,254,1356,236,387,200,15,114,562,6323,4317,15654,1858,0.8258780826305113,0.17412191736948862,4803,Information
Waltham,waltham,116560,12553,13168,705700,64723,40257,4842,8335,11795,1626,1029,903,508,1198,1133,643,1923,381,843,1010,816,630,251,612,1280,1379,1341,703,668,0,1884,2413,701,715,4543,1257,1422,694,44,98,1676,8963,9914,45846,11289,0.48804478830527587,0.5119552116947241,15447,Information
Ware,ware,69666,3317,1171,269400,10012,9192,266,12,555,221,220,123,199,328,252,231,80,72,203,304,162,206,52,81,168,179,253,112,218,20,540,538,181,32,105,40,133,107,0,33,183,1654,2010,6348,542,0.7390819964349377,0.2609180035650624,1912,Construction
Wareham,wareham,82741,8520,1938,398000,23226,18904,342,473,471,475,406,656,179,463,435,333,151,493,524,764,600,238,150,789,514,670,705,520,431,114,1010,599,447,71,581,215,261,272,26,88,823,3098,6398,13730,3507,0.8146873207114171,0.18531267928858292,4507,Construction
Warren,warren,66587,1490,746,339500,4981,4642,68,147,156,81,238,64,117,116,219,88,0,136,0,129,25,20,25,20,145,159,0,50,28,0,73,381,241,0,117,43,0,73,37,0,243,923,737,3321,124,0.6663685152057245,0.3336314847942755,1208,Manufacturing
Warwick,warwick,95000,338,40,301400,861,814,0,9,25,19,19,16,0,14,20,10,8,7,13,20,20,17,0,17,26,25,10,17,9,8,61,73,18,0,15,9,5,7,3,6,28,106,181,574,38,0.8941798941798942,0.10582010582010581,233,Manufacturing
Washington,washington,89345,247,22,358900,533,480,3,26,1,7,22,19,8,1,10,5,0,4,19,29,21,7,6,8,36,20,14,22,3,0,19,35,3,0,29,4,5,15,0,1,5,72,189,272,24,0.9182156133828996,0.08178438661710037,116,Manufacturing
Watertown Town,watertown,123422,7913,8297,737600,35270,25080,1471,4199,2276,800,524,440,467,753,788,332,356,508,634,558,729,282,239,437,500,1109,544,347,435,49,789,910,480,373,2586,408,901,323,0,232,739,4460,6322,24488,4520,0.4881554595928439,0.5118445404071561,7790,Information
Wayland,wayland,221250,4473,475,936900,13826,10520,116,1952,722,364,453,542,305,522,518,342,59,165,217,402,196,140,142,165,258,407,292,120,196,8,236,348,23,173,1352,61,276,80,0,36,290,3105,2700,8021,1238,0.9040016168148747,0.0959983831851253,2883,Information
Webster,webster,68934,4331,3137,339600,17674,13146,1027,303,3390,411,435,547,319,629,493,213,225,146,262,364,390,85,145,213,322,486,384,192,370,81,532,870,408,140,596,395,235,220,15,0,687,3272,3359,11043,3198,0.5799410819496519,0.4200589180503482,4179,Manufacturing
Wellesley,wellesley,250001,7642,1459,1513400,29906,21980,590,4175,1799,707,750,1187,959,898,1135,637,1860,292,301,577,420,231,233,257,337,720,525,346,560,0,267,407,67,245,1707,104,638,132,37,71,322,8133,4799,16974,3161,0.8396879463795187,0.16031205362048126,3997,Information
Wellfleet,wellfleet,114074,1610,314,751000,4371,3947,17,38,70,58,278,23,28,40,212,26,28,17,62,176,77,119,45,107,103,219,190,53,81,37,189,100,38,20,150,12,0,20,0,0,197,693,1249,2429,369,0.8367983367983368,0.1632016632016632,763,Public administration
Wendell,wendell,69213,296,57,265700,816,680,28,13,61,6,26,32,14,15,22,8,0,7,18,21,22,19,7,26,15,19,62,5,0,8,29,9,5,2,48,8,20,9,9,2,26,123,221,472,95,0.8385269121813032,0.16147308781869688,175,Information
Wenham,wenham,187652,1126,189,841800,4930,4509,97,106,261,83,87,176,116,137,122,75,493,70,60,66,65,24,22,25,99,86,95,37,52,0,115,136,36,10,240,61,26,34,0,23,199,1289,701,2940,218,0.8562737642585552,0.14372623574144486,880,Information
West Boylston,west boylston,99674,2339,601,399200,7732,6787,287,64,537,113,247,94,134,140,271,87,42,141,139,299,200,40,58,128,162,286,177,106,241,0,285,342,126,6,227,81,83,46,9,7,196,1128,1977,4627,594,0.795578231292517,0.204421768707483,1408,Manufacturing
West Bridgewater,west bridgewater,124483,2410,466,501000,7682,7050,136,85,153,155,158,165,122,303,187,167,36,91,150,176,117,63,40,48,171,250,166,48,158,11,551,306,153,78,249,84,110,51,18,0,315,1293,1478,4911,411,0.8379694019471489,0.1620305980528512,1926,Construction
West Brookfield,west brookfield,78988,1287,340,333100,3830,3497,0,0,332,71,84,117,92,81,62,50,9,83,129,169,108,86,23,128,57,184,112,122,119,0,135,76,105,10,96,54,75,30,10,43,104,566,1320,1944,333,0.7910264290104487,0.20897357098955133,738,Construction
West Newbury,west newbury,189048,1574,78,765800,4536,3917,0,107,217,87,42,87,70,129,178,137,39,90,117,160,89,56,20,148,166,117,75,18,10,0,98,160,85,90,292,27,140,32,0,8,153,769,1066,2701,512,0.9527845036319612,0.04721549636803874,1085,Information
West Springfield Town,west springfield,70401,7374,5224,307900,28635,21801,1347,1869,3745,739,720,815,167,849,791,568,278,313,583,721,323,193,114,361,401,631,433,240,373,30,529,1005,985,43,488,312,814,203,80,164,743,4927,4686,19022,3618,0.5853310049214161,0.4146689950785839,5396,Manufacturing
West Stockbridge,west stockbridge,99961,467,84,469400,1201,1099,0,21,31,27,12,55,11,4,38,34,6,29,39,41,5,4,6,26,51,87,9,3,11,30,19,30,28,0,77,18,43,13,6,5,15,187,311,703,81,0.8475499092558983,0.15245009074410162,284,Information
West Tisbury,west tisbury,194526,828,93,1178600,2865,2519,5,12,43,162,0,143,58,7,48,47,43,20,23,162,105,0,0,42,255,212,34,18,0,6,220,18,39,0,147,0,56,0,0,10,0,508,871,1486,329,0.8990228013029316,0.10097719869706841,496,Construction
Westborough,westborough,134474,4895,3170,637900,21591,13319,676,4961,1687,412,837,745,581,688,927,566,151,271,376,406,278,151,192,210,312,446,277,211,260,38,407,1082,267,247,1755,239,351,124,13,115,575,4907,3390,13294,2635,0.6069435833849969,0.3930564166150031,5213,Information
Westfield,westfield,82847,10657,5016,295500,40673,34698,444,1478,4075,688,1310,1068,982,1357,946,764,778,413,775,948,504,367,253,329,993,1249,623,331,797,181,972,1736,871,48,649,313,780,465,23,96,858,7893,7582,25198,4053,0.6799591654437568,0.3200408345562432,6992,Manufacturing
Westford,westford,181523,7797,1017,689400,24584,17406,74,5717,640,510,768,1125,793,835,1148,663,434,301,317,570,249,204,152,238,361,463,329,124,197,0,530,1271,224,289,2016,138,269,379,72,60,359,6276,3505,14803,1387,0.8846153846153846,0.11538461538461539,5607,Information
Westhampton,westhampton,95192,575,47,394800,1514,1435,0,1,52,11,27,50,26,32,68,26,10,30,51,31,38,11,2,35,67,66,30,16,7,17,92,103,14,0,31,4,31,0,8,1,21,250,384,880,78,0.9244372990353698,0.07556270096463022,322,Manufacturing
Westminster,westminster,101161,2866,409,394000,8289,8029,0,53,185,208,350,187,372,182,191,105,75,37,176,434,215,70,13,156,195,473,123,81,33,27,176,304,223,0,326,113,112,79,27,64,27,1670,2006,4613,207,0.8751145038167939,0.1248854961832061,1478,Information
Weston,weston,250001,3193,339,1586100,11443,8706,342,1480,419,377,444,640,245,427,491,207,276,151,143,235,134,166,221,101,155,282,180,149,268,13,110,222,44,53,779,67,330,47,0,8,48,3107,2185,6151,915,0.9040203850509626,0.09597961494903737,1721,Information
Westport,westport,100703,5692,1084,483800,16382,15520,2,91,250,355,355,639,184,392,363,239,158,173,363,591,339,311,149,287,310,660,524,389,105,0,1009,487,214,70,404,160,267,75,9,58,611,2685,4201,9496,769,0.8400236127508854,0.15997638724911453,3364,Construction
Westwood,westwood,205000,4791,701,985800,16213,12782,263,1627,866,453,619,686,332,744,585,503,153,112,166,167,256,250,200,151,334,281,249,294,513,7,196,487,58,46,915,35,306,6,0,0,366,4075,2973,9165,1541,0.8723597960670065,0.12764020393299344,2422,Information
Weymouth Town,weymouth,100077,17142,8157,516200,57786,46683,3128,4025,2654,1495,1279,935,687,1338,1399,938,520,726,1366,1193,635,566,332,755,1104,1586,1159,751,828,36,2371,1286,1137,550,2336,593,1310,270,0,368,1367,8591,11001,38194,3950,0.6775761887821653,0.3224238112178347,11624,Construction
Whately,whately,102734,561,98,393200,1521,1433,13,1,44,30,51,43,19,45,34,17,33,22,49,96,17,21,3,44,26,54,32,12,24,23,76,74,18,7,36,6,24,7,3,10,20,272,400,849,74,0.8512898330804249,0.14871016691957512,304,Construction
Whitman,whitman,107794,4190,1564,456400,15215,13487,220,183,479,314,449,521,503,473,343,190,121,225,187,292,128,60,64,371,121,346,189,77,165,0,734,519,360,189,467,173,188,83,11,53,636,2914,2225,10076,1325,0.7281890858533194,0.27181091414668057,3413,Construction
Wilbraham,wilbraham,124004,4821,524,384300,14551,12809,616,177,806,353,661,497,274,250,497,447,154,249,409,323,173,87,186,232,381,442,310,157,345,42,463,560,413,0,295,74,190,336,21,88,371,3133,3294,8124,949,0.9019644527595884,0.0980355472404116,2853,Manufacturing
Williamsburg,williamsburg,108500,946,182,379500,2716,2564,15,45,48,21,55,109,21,45,94,123,0,83,36,122,21,14,9,37,102,62,50,32,22,16,82,110,64,0,115,16,32,35,8,7,82,468,590,1658,92,0.8386524822695035,0.16134751773049646,567,Information
Williamstown,williamstown,97813,1829,691,449800,7463,6080,249,475,300,70,56,137,250,174,188,108,439,78,62,176,142,87,125,85,202,377,124,107,161,43,53,135,37,97,60,0,58,43,19,0,89,1422,1726,4315,659,0.7257936507936508,0.27420634920634923,634,Manufacturing
Wilmington,wilmington,161473,6841,1030,646200,23195,20127,295,1014,578,735,806,938,416,578,646,568,242,184,404,419,380,130,174,253,365,505,314,123,166,92,1001,973,195,250,1234,247,398,318,26,55,455,4929,3417,14849,1759,0.86913988057426,0.13086011942574005,5244,Information
Winchendon,winchendon,85160,2969,847,295400,10392,9057,183,345,396,164,243,374,146,284,419,164,105,165,190,371,72,184,81,78,99,317,122,103,114,30,308,595,167,31,103,47,161,148,0,65,162,1899,1896,6597,807,0.7780398322851153,0.2219601677148847,1817,Manufacturing
Winchester,winchester,218176,6714,1340,1181700,22862,16546,684,3585,724,570,1040,836,642,917,1088,721,168,131,303,492,229,258,235,248,370,528,436,365,458,16,218,881,186,255,1803,140,490,66,45,70,158,5982,4053,12827,2047,0.8336230444499627,0.16637695555003726,4328,Information
Windsor,windsor,104766,398,12,353900,1019,851,0,9,12,52,12,19,13,26,5,17,8,11,26,42,6,4,2,10,25,19,18,4,8,0,57,46,45,0,45,2,12,10,2,0,20,152,175,692,159,0.9707317073170731,0.02926829268292683,239,Construction
Winthrop Town,winthrop,106357,4399,3519,606900,18807,15053,645,322,3720,295,370,365,544,693,411,407,175,167,212,338,299,148,97,397,300,699,500,140,402,24,512,399,509,181,794,308,343,305,0,12,329,3260,3699,11848,2787,0.5555695882798687,0.44443041172013137,3716,Information
Woburn,woburn,107754,9429,6931,641800,41205,31088,2445,3365,2420,1224,858,878,646,1073,791,716,480,329,520,769,428,273,299,637,475,969,525,421,800,16,1622,1877,706,260,2107,322,736,321,0,481,776,6666,6445,28094,4307,0.5763447432762836,0.4236552567237164,9224,Information
Worcester,worcester,67544,33510,45579,339500,205501,119250,24955,14247,51192,6315,5717,5883,3791,4853,5759,3092,4483,1881,2192,2973,1790,1098,1277,2216,2788,4213,2060,1971,2798,111,5951,7289,4027,989,6657,2262,5609,1995,52,271,4921,39893,27257,138351,47049,0.42369988241095474,0.5763001175890452,40134,Manufacturing
Worthington,worthington,91250,481,33,346800,1061,984,0,21,34,23,17,14,9,14,30,8,3,45,43,49,20,15,18,54,40,58,27,18,3,10,68,44,8,5,28,7,3,6,0,2,32,118,390,553,56,0.9357976653696498,0.06420233463035019,213,Construction
Wrentham,wrentham,147930,3753,642,599500,12305,10991,274,329,269,205,327,415,283,340,315,297,123,192,309,257,241,158,103,160,232,248,264,61,373,6,567,329,181,76,807,173,169,146,19,88,203,2305,2598,7402,711,0.8539249146757679,0.14607508532423208,2764,Information
Yarmouth,yarmouth,81985,9478,2221,480500,25091,20605,1035,633,823,502,446,435,237,555,506,371,209,381,612,1044,575,398,714,424,779,1113,1029,752,937,89,1330,399,221,58,826,440,207,385,0,97,1049,3261,8758,13072,2818,0.8101547140781263,0.18984528592187366,5101,Construction
