cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,medianHomeValueCensus,medianBedrooms,medianBathrooms,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
east freetown,3,629900.0,633233.3333333334,462.58116883116884,3930.0,,,3.0,1.0,8.236090870124304,3.4,,,,East Freetown
east longmeadow,20,649000.0,727241.75,235.55980666747072,4277.0,101540.0,342000.0,4.0,3.0,8.699537369519835,2.9,17.75,6.3915698246996255,1.978411659262723,East Longmeadow
east otis,2,827000.0,827000.0,538.940702966959,5450.0,,,2.5,2.0,8.698928345882926,2.0,3.25,,,East Otis
east taunton,3,385000.0,427666.6666666667,281.48496240601503,2966.0,,,2.0,2.0,10.025819397993311,3.5,15.0,,,East Taunton
east walpole,4,1124000.0,1081950.0,416.10890852067325,7093.0,,,3.5,3.0,8.237170604858226,3.0,28.75,,,East Walpole
eastham,25,859000.0,1176995.96,560.8974358974359,5209.0,72683.0,668400.0,3.0,2.0,7.8184615384615395,3.4,25.25,11.818444478076028,1.1627791642669738,Eastham
easton,15,737700.0,825988.3333333334,338.0676328502415,4603.0,121458.0,560200.0,3.0,2.0,8.2368,3.0,17.0,6.07370449044114,2.1988920269389527,Easton
egremont,15,995000.0,1629466.6666666667,412.16494845360825,6441.0,97500.0,549300.0,4.0,3.0,8.5430220713073,2.6,15.0,10.205128205128204,1.2614500853904673,Egremont
erving,3,350000.0,326633.3333333333,291.6666666666667,2287.0,74550.0,241500.0,3.0,1.0,8.864533333333334,3.0,16.0,4.694835680751174,2.7164407520769567,Erving
essex,5,1290000.0,1185800.0,446.05809128630705,7981.0,152371.0,826700.0,3.0,2.0,8.216480686695279,4.0,16.5,8.46617794724718,1.5909764858204904,Essex
everett,8,813000.0,713724.875,430.9544563415308,5066.5,79658.0,605200.0,4.0,2.0,8.226613622979782,3.4,65.33333333333333,10.206131210926712,1.3102075726175204,Everett
fairhaven,14,509000.0,589592.8571428572,395.13197946481307,3238.0,92500.0,407300.0,2.5,2.0,8.236799999999999,3.6,36.5,5.5027027027027025,2.3805847230800903,Fairhaven
fall river,94,542250.0,659298.7659574468,236.73818719903693,3616.0,53933.0,357800.0,4.0,3.0,8.236831617879233,3.6,46.0,10.05414124932787,1.2429249631268438,Fall River
falmouth,146,975000.0,1321329.102739726,492.2154416313504,5884.5,92862.0,580000.0,3.0,3.0,7.818806572382012,3.6,23.5,10.49945079795826,1.3150650012745349,Falmouth
fitchburg,62,499900.0,497133.37096774194,229.69143693493405,3207.5,70659.0,295500.0,4.0,2.5,8.468173634726945,2.8,36.5,7.074824155450827,1.835775526110678,Fitchburg
